occupation_code	occupation_text	display_level	selectable	sort_sequence
193031	Clinical, counseling, and school psychologists	4	T	285
19303X	Psychologists	3	T	284
193051	Urban and regional planners	4	T	292
19305X	Urban and regional planners	3	T	291
193094	Political scientists	4	T	297
19309X	Miscellaneous social scientists and related workers	3	T	293
193XXX	Social scientists and related workers	2	T	279
194011	Agricultural and food science technicians	4	T	300
19401X	Agricultural and food science technicians	3	T	299
194021	Biological technicians	4	T	304
19402X	Biological technicians	3	T	303
194031	Chemical technicians	4	T	306
19403X	Chemical technicians	3	T	305
194041	Geological and petroleum technicians	4	T	308
19404X	Environmental science and geoscience technicians	3	T	307
194051	Nuclear technicians	4	T	313
19405X	Nuclear technicians	3	T	312
194071	Forest and conservation technicians	4	T	317
19407X	Forest and conservation technicians	3	T	316
194091	Environmental science and protection technicians, including health	4	T	319
194092	Forensic science technicians	4	T	320
194093	Forest and conservation technicians	4	T	321
19409X	Miscellaneous life, physical, and social science technicians	3	T	318
194XXX	Life, physical, and social science technicians	2	T	298
195011	Occupational health and safety specialists	4	T	324
19501X	Occupational health and safety specialists and technicians	3	T	323
195XXX	Occupational health and safety specialists and technicians	2	T	322
19XXXX	Life, physical, and social science occupations	1	T	248
211011	Substance abuse and behavioral disorder counselors	4	T	329
211012	Educational, guidance, and career counselors and advisors	4	T	330
211014	Mental health counselors	4	T	332
211015	Rehabilitation counselors	4	T	333
21101X	Counselors	3	T	328
211021	Child, family, and school social workers	4	T	335
211022	Healthcare social workers	4	T	336
211023	Mental health and substance abuse social workers	4	T	337
21102X	Social workers	3	T	334
211092	Probation officers and correctional treatment specialists	4	T	340
211093	Social and human service assistants	4	T	341
21109X	Miscellaneous community and social service specialists	3	T	338
211XXX	Counselors, social workers, and other community and social service specialists	2	T	327
212011	Clergy	4	T	345
21201X	Clergy	3	T	344
212021	Directors, religious activities and education	4	T	347
21202X	Directors, religious activities and education	3	T	346
21209X	Miscellaneous religious workers	3	T	348
212XXX	Religious workers	2	T	343
21XXXX	Community and social service occupations	1	T	326
231011	Lawyers	4	T	352
23101X	Lawyers and judicial law clerks	3	T	351
231023	Judges, magistrate judges, and magistrates	4	T	357
23102X	Judges, magistrates, and other judicial workers	3	T	354
231XXX	Lawyers, judges, and related workers	2	T	350
232011	Paralegals and legal assistants	4	T	360
23201X	Paralegals and legal assistants	3	T	359
232XXX	Legal support workers	2	T	358
23XXXX	Legal occupations	1	T	349
251011	Business teachers, postsecondary	4	T	367
25101X	Business teachers, postsecondary	3	T	366
251021	Computer science teachers, postsecondary	4	T	369
251022	Mathematical science teachers, postsecondary	4	T	370
25102X	Math and computer science teachers, postsecondary	3	T	368
251032	Engineering teachers, postsecondary	4	T	373
25103X	Engineering and architecture teachers, postsecondary	3	T	371
251054	Physics teachers, postsecondary	4	T	382
25105X	Physical sciences teachers, postsecondary	3	T	378
251071	Health specialties teachers, postsecondary	4	T	392
25107X	Health teachers, postsecondary	3	T	391
251081	Education teachers, postsecondary	4	T	395
